weather,beginning,gridtype,ann_tech_type,ann_interface,hidden_nodes,penalty_reimbursement,seed,fitness
0,2014 12 31 23:50:00,2,ANN_A_SIGMOID,FMN,2,100000.0,12345,
0,2014 12 31 23:50:00,3,ANN_A_SIGMOID,FMN,2,100000.0,12345,
0,2014 12 31 23:50:00,4,ANN_A_SIGMOID,FMN,2,100000.0,12345,
0,2015 6 21 23:50:00,0,ANN_B_SIGMOID,FMN,2,100000.0,12345,
0,2015 6 21 23:50:00,1,ANN_B_SIGMOID,FMN,2,100000.0,12345,
0,2015 6 21 23:50:00,2,ANN_B_SIGMOID,FMN,2,100000.0,12345,
0,2015 6 21 23:50:00,3,ANN_B_SIGMOID,FMN,2,100000.0,12345,
0,2015 6 21 23:50:00,4,ANN_B_SIGMOID,FMN,2,100000.0,12345,
0,2014 12 31 23:50:00,0,ANN_B_SIGMOID,FMN,2,100000.0,12345,
0,2014 12 31 23:50:00,1,ANN_B_SIGMOID,FMN,2,100000.0,12345,
0,2014 12 31 23:50:00,2,ANN_B_SIGMOID,FMN,2,100000.0,12345,
0,2014 12 31 23:50:00,3,ANN_B_SIGMOID,FMN,2,100000.0,12345,
0,2014 12 31 23:50:00,4,ANN_B_SIGMOID,FMN,2,100000.0,12345,
0,2015 6 21 23:50:00,0,ANN_C_SIGMOID,FMN,2,100000.0,12345,
0,2015 6 21 23:50:00,1,ANN_C_SIGMOID,FMN,2,100000.0,12345,
0,2015 6 21 23:50:00,2,ANN_C_SIGMOID,FMN,2,100000.0,12345,
0,2015 6 21 23:50:00,3,ANN_C_SIGMOID,FMN,2,100000.0,12345,
0,2015 6 21 23:50:00,4,ANN_C_SIGMOID,FMN,2,100000.0,12345,
0,2014 12 31 23:50:00,0,ANN_C_SIGMOID,FMN,2,100000.0,12345,
0,2014 12 31 23:50:00,1,ANN_C_SIGMOID,FMN,2,100000.0,12345,
0,2014 12 31 23:50:00,2,ANN_C_SIGMOID,FMN,2,100000.0,12345,
0,2014 12 31 23:50:00,3,ANN_C_SIGMOID,FMN,2,100000.0,12345,
0,2014 12 31 23:50:00,4,ANN_C_SIGMOID,FMN,2,100000.0,12345,
0,2015 6 21 23:50:00,0,ANN_D_SIGMOID,FMN,2,100000.0,12345,
0,2015 6 21 23:50:00,1,ANN_D_SIGMOID,FMN,2,100000.0,12345,
0,2015 6 21 23:50:00,2,ANN_D_SIGMOID,FMN,2,100000.0,12345,
0,2015 6 21 23:50:00,3,ANN_D_SIGMOID,FMN,2,100000.0,12345,
0,2015 6 21 23:50:00,4,ANN_D_SIGMOID,FMN,2,100000.0,12345,
0,2014 12 31 23:50:00,0,ANN_D_SIGMOID,FMN,2,100000.0,12345,
0,2014 12 31 23:50:00,1,ANN_D_SIGMOID,FMN,2,100000.0,12345,
0,2014 12 31 23:50:00,2,ANN_D_SIGMOID,FMN,2,100000.0,12345,
0,2014 12 31 23:50:00,3,ANN_D_SIGMOID,FMN,2,100000.0,12345,
0,2014 12 31 23:50:00,4,ANN_D_SIGMOID,FMN,2,100000.0,12345,
